Pl   Team                    P    W   D   L    GF   GA   GD   Pts
-----------------------------------------------------------------
1    FC Barcelona           18   11   3   4    49   31   18    36
2    PSG                    18   10   3   5    45   23   22    33
3    Manchester City        18   10   2   6    33   25    8    32
4    Arsenal                18    8   7   3    47   25   22    31
5    Atletico Madrid        18    9   4   5    36   25   11    31
6    Bayern Munich          18    8   3   7    38   38    0    27
7    Inter Milan            18    8   3   7    29   29    0    27
8    Liverpool              18    7   5   6    36   47  -11    26
9    Real Madrid            18    5   8   5    41   37    4    23
10   Manchester United      18    5   6   7    27   38  -11    21
11   Napoles                18    6   3   9    27   41  -14    21
12   Borussia Dortmund      18    4   2  12    28   48  -20    14
13   Tottenham              18    3   4  11    10   24  -14    13
14   Chelsea                18    2   7   9    27   42  -15    13

