Copa Federacion, Tottenham vs. Napoles (Tue Jun 09)


                            Tottenham  |  Napoles
                              3-4-3 E  |  4-1-2-3 A
                                       |
                                       |
                         G_Vicario GK  |  GK A_Meret
                           P_Porro DF  |  DF A_Buongiorno
                        R_Dragusin DF  |  DF M_Gutierrez
                           K_Danso DF  |  DF M_Oliveira
                        J_Maddison MF  |  DF L_Spinazzola
                       R_Bentancur MF  |  DM F_Anguissa
                      D_Kulusevski MF  |  MF S_Lobotka
                            A_Gray MF  |  MF L_Goretzka
                         B_Johnson FW  |  FW K_Kvaratskhelia
                       Richarlison FW  |  FW S_Gnabry
                         D_Solanke FW  |  FW R_Lukaku
                                       |
                          A_Kinsky SUB |  SUB V_Milinkovic
                          D_Udogie SUB |  SUB M_Kim
                          B_Davies SUB |  SUB D_Neres
                        Y_Bissouma SUB |  SUB B_Gilmour
                             M_Tel SUB |  SUB R_KoloMuani

Árbitro: Howard_Webb (England)


Min. 2  :(tot) P_Porro se cambia el balón de pierna 
          ...  Regatea al defensa 
          ...  Vaya obra de arte 
          ...  P_Porro pisa el balón, se lo acomoda a la derecha y... chuta 
          ...  Ay va Ha tirado a metros de la portería 
          ...  Creo que el míster lo va a poner a patear toda la semana como castigo 
Min. 6  :(nap) L_Goretzka hace una pared con un compañero y mete de primeras para R_Lukaku 
          ...  R_Lukaku se saca una vaselina magistral de la chistera 
          ...  G_Vicario adivina la trayectoria del cuero 
Min. 7  :(tot) J_Maddison busca algún apoyo 
          ...  Ojo Casi pierde el balón en una zona peligrosa 
          ...  Pero consigue meter el pase para Richarlison 
          ...  Richarlison tiene tiempo y espacio 
          ...  Busca la vaselina 
          ...  Va directo hacia A_Meret 
          ...  Pone mal la pierna 
          ...  Sale rebotada hacia atrás 
          ...  A_Meret mira el balón alarmado 
          ...  Y lo ve salir al lado del palo, suspira de alivio, menudo fallo 
          ...  CÓRNER 
          ...  Picado por D_Kulusevski 
          ...  Vuela hacia B_Johnson 
          ...  Peina el balón hacia atrás 
          ...  Pega en la espalda de un defensa 
          ...  A_Meret ha quedado descolocado 
          ...  Sale rozando el palo Uy 
          ...  CÓRNER 
          ...  J_Maddison acaricia el cuero 
          ...  L_Spinazzola se anticipa a la jugada 
          ...  Y manda el balón a la grada 
Min. 9  :(tot) R_Bentancur se cuela por el extremo derecho 
          ...  Centro medido para J_Maddison 
          ...  J_Maddison con un toque de maestro 
          ...  Vuela por encima de A_Meret 
          ...  Va a puerta 
          ...  El portero mete la mano, ¿será suficiente? 
          ...  Sí, ha desviado el disparo 
Min. 9  :(nap) R_Lukaku va en carrera 
          ...  D_Kulusevski llega segundos tarde al corte 
          ...  Se levanta y se disculpa de su oponente 
          ...  Se lleva una (AMARILLA) 
          ...  FALTA DIRECTA 
          ...  L_Goretzka engaña al equipo rival 
          ...  mete el pase para R_Lukaku 
          ...  R_Lukaku suelta un cañonazo. Problemas para A_Meret 
          ...  G_Vicario palmea a córner 
          ...  Howard_Webb pita saque de puerta 
          ...  Increíble 
Min. 9  :(nap) L_Goretzka tiene campo por delante 
          ...  Pasa a A_Buongiorno 
          ...  A_Buongiorno le da mucho efecto a su disparo 
          ...  Coloca el balón lejos del alcance del portero 
          ...  Pero da en el palo 
          ...  Bueno, los palos también juegan 
Min. 12 :(tot) J_Maddison ve especio entre el central y el lateral 
          ...  Qué pase en diagonal 
          ...  B_Johnson pisa área. Peligro 
          ...  A_Buongiorno llega velozmente y mete la planta del pie 
          ...  ¡Qué velocidad! 
Min. 20 :(nap) R_Lukaku con el regate 
          ...  Evita la entrada 
          ...  K_Danso intercepta el pase 
Min. 21 :(tot) Richarlison pisa el balón ante L_Spinazzola 
          ...  Le suelta el túnel y recibe un agarrón de la camiseta 
          ...  Howard_Webb da la ley de la ventaja 
          ...  Potente chut de Richarlison 
          ...  El balón vuela como un obús hacia la portería 
          ...  A_Meret reacciona con rapidez 
          ...  ¿Llegará a desviar el envenenado disparo? 
          ...  ¡NO! GOOOOOL 
          ...  A_Meret descarga su frustración pateando el palo 
          ...  El Tottenham gana momentáneamente 
          ...  Tottenham 1-0 Napoles ...
Min. 21 :(nap) M_Oliveira mete el balón a la espalda de la defensa 
          ...  Su compañero ya había empezado la carrera 
          ...  K_Kvaratskhelia controla el balón 
          ...  K_Kvaratskhelia suelta un chut con un efecto endiablado 
          ...  Al palo y fuera 
          ...  Bueno, a veces entra, a veces no... 
Min. 22 :(nap) F_Anguissa encuentra una autopista en la defensa 
          ...  La defensa estaba embobada 
          ...  Richarlison salta de cabeza con su rival 
          ...  Falta Lo estaba agarrando 
          ...  Recibe una charla conciliadora de Howard_Webb 
Min. 23 :(tot) K_Danso llega al balón muerto 
          ...  Tiene un montón de metros por delante 
          ...  K_Danso levanta la cabeza, apunta a la escuadra y... ¡dispara! 
          ...  A_Meret se zambulle espectacularmente hacia su izquierda 
          ...  Qué paradón Se le ha aparecido la vírgen 
Min. 24 :(nap) K_Kvaratskhelia se cuela por la banda 
          ...  Quiebra a K_Danso en velocidad 
          ...  Mete un pase raso hacia R_Lukaku 
          ...  R_Lukaku con un sorprendente remate 
          ...  Dispara precipitadamente 
          ...  Fuera No puedo precisar el remate 
Min. 26 :(nap) M_Gutierrez avanza en diagonal 
          ...  Espléndido taconazo para K_Kvaratskhelia 
          ...  Perfecto corte de P_Porro 
          ...  Lo hizo fácil 
          ...  Pero no puede evitar que salga a córner 
          ...  CÓRNER 
          ...  S_Lobotka le de mucho efecto a su lanzamiento 
          ...  Vuela hacia R_Lukaku 
          ...  Peina el balón hacia atrás 
          ...  Qué agilidad G_Vicario ha estado tremendo 
Min. 30 :(nap) K_Kvaratskhelia ve perfectamente el desmarque de R_Lukaku 
          ...  R_Lukaku trata de sorprender a G_Vicario 
          ...  Golpea en la madera 
          ...  Y fuera Está desesperado 
Min. 31 :(nap) K_Kvaratskhelia se va solo 
          ...  El asistente no levanta la bandera 
          ...  R_Bentancur llega como un tren y arrolla a delantero y balón 
Min. 31 :(tot) K_Danso ve el desmarque de B_Johnson 
          ...  A_Buongiorno se lleva bien el balón 
          ...  Howard_Webb pita falta ¡Bufff!, no vale ni para la Segunda B 
          ...  FALTA DIRECTA 
          ...  ¡Peligro! 
          ...  A_Gray dispara a puerta 
          ...  El disparo se le escurre a A_Meret de las manos 
          ...  rueda lentamente hacia el marco 
          ...  Pero sale a centímetros del palo 
Min. 32 :(tot) D_Kulusevski mete el pase 
          ...  L_Spinazzola resbala 
          ...  Richarlison se apodera del balón 
          ...  Richarlison vuela con bravura para rematar en plancha 
          ...  A_Meret mete la mano y alcanza el balón con la punta de los dedos 
          ...  córner, marca Howard_Webb 
          ...  Pero el asistente lo corrige ¿Eso es asistir? 
Min. 33 :(nap) S_Gnabry hace una doble pared con R_Lukaku 
          ...  R_Lukaku busca un disparo con efecto Esto es fútbol 
          ...  El disparo agarra un efecto endiablado 
          ...  G_Vicario reacciona con velocidad 
          ...  No va a llegar 
          ...  Se cuela 
          ...  Pero un defensa se lanza en plancha y mete el cuerpo 
          ...  CÓRNER 
          ...  L_Goretzka cuelga el centro al segundo palo 
          ...  Directo hacia R_Lukaku 
          ...  Remata como puede 
          ...  G_Vicario vuela y despeja el balón al lado del palo 
          ...  Cuando está "enchufado" es de los mejores de TSM 
          ...  CÓRNER 
          ...  K_Kvaratskhelia saca a la zona de peligro 
          ...  G_Vicario lo atrapa 
Min. 36 :(tot) A_Gray cuelga de primeras para B_Johnson 
          ...  F_Anguissa va al choque 
          ...  Y desplaza al delantero 
Min. 36 :(nap) M_Oliveira está cerrado por tres contrarios 
          ...  Se saca el balón de encima 
          ...  le cae a K_Kvaratskhelia ¿Suerte o calidad? 
          ...  K_Kvaratskhelia busca desequilibrar el partido 
          ...  G_Vicario no va a llegar 
          ...  Impacta en la madera 
          ...  GOOOOOL 
          ...  Imparable 
          ...  Napoles nivela el luminoso 
          ...  Tottenham 1-1 Napoles ...
Min. 38 :(nap) M_Oliveira controla el balón en una demostración de clase 
          ...  Abre el juego a la izquierda 
          ...  S_Gnabry es el destinatario 
          ...  S_Gnabry busca el palo largo 
          ...  Bota mal sobre un césped demasiado mojado 
          ...  Pero impacta en el lateral de la red 
          ...  CÓRNER 
          ...  S_Lobotka centra con fuerza al área pequeña 
          ...  El balón va directo hacia J_Maddison, que despeja con contundencia 
Min. 41 :(tot) Richarlison habilita a D_Solanke con un preciso toque 
          ...  M_Gutierrez arriesga con una entrada a ras de suelo 
          ...  ¡OOOHHHH! 
          ...  El balón le queda rebotado al delantero 
          ...  Pero mete el pie de nuevo 
Min. 42 :(nap) M_Oliveira se mete en el área. Va a chutar No, pase para R_Lukaku 
          ...  R_Lukaku salta con potencia por encima de la defensa 
          ...  G_Vicario resbala 
          ...  Pero llega a desviar el disparo 
          ...  Golpea en el palo... 
          ...  GOOOOOL 
          ...  Qué mala suerte 
          ...  Gritos de "TONTO, TONTO" en la grada 
          ...  El Napoles se pone por delante 
          ...  Tottenham 1-2 Napoles ...
Min. 42 :(tot) J_Maddison se deshace de F_Anguissa 
          ...  S_Gnabry entra con los tacos por delante 
          ...  Le ha pegado con toda la mala leche del mundo 
Min. 43 :(REF) El cuarto árbitro indica que se van a añadir 3 minutos al tiempo reglamentario
Min. 45 :(tot) La grada empieza a animar ya que Y_Bissouma substituye a A_Gray para jugar de MF 
Min. 45 :(tot) D_Udogie se despoja del chándal. Entrará por K_Danso y se ubicará de DF 
Min. 45 :(tot) Richarlison hace la croqueta ante M_Gutierrez 
          ...  El defensa mete la pierna, pero el rebote va a parar al delantero 
          ...  Richarlison busca la escuadra derecha 
          ...  Pero A_Meret hace una gran parada 
          ...  ¡Uau! Estuvo cerca 
          ...  Tuvo que emplearse a fondo para evitar el gol 
Min. 46 :(nap) K_Kvaratskhelia cuelga arriba sobre M_Gutierrez 
          ...  M_Gutierrez se abre un hueco entre la defensa rival y dispara 
          ...  Busca la escuadra 
          ...  Ojo con el efecto. El portero no va a llegar 
          ...  Pero aterriza en la grada superior de la portería 
          ...  G_Vicario sonríe. Estaba batido 
Min. 47 :(tot) D_Kulusevski con un pase muy fuerte para J_Maddison 
          ...  J_Maddison trata de sorprender al portero Está muy adelantado 
          ...  A_Meret hace una parada realmente complicada 

*************  MEDIA PARTE  ****************
Resultado al descanso: Tottenham 1-2 Napoles

Min. 46 :(nap) S_Lobotka está presionado, retrocede 
          ...  Está en peligro, se saca el balón de encima 
          ...  OH Le ha salida una maravillosa asistencia hacia K_Kvaratskhelia 
          ...  D_Kulusevski llega velozmente y mete la planta del pie 
          ...  ¡Qué velocidad! 
Min. 47 :(nap) M_Gutierrez cruza la línea de medios 
          ...  Ve un hueco en el flanco 
          ...  Mete el balón sobre la llegada de R_Lukaku 
          ...  oooooh Que entrada más dura de D_Udogie 
          ...  Howard_Webb lo llama inmediatamente 
          ...  (AMARILLA) 
Min. 48 :(nap) R_Lukaku con un tremendo sprint 
          ...  R_Lukaku supera a G_Vicario con una precisa vaselina 
          ...  G_Vicario despeja el balón... con el pecho Vaya manera de vacilar al contrario 
Min. 50 :(nap) K_Kvaratskhelia se le cuela a R_Bentancur por dentro 
          ...  Le ha dado demasiado espacio 
          ...  K_Kvaratskhelia empalma el balon con una rabona ¡Qué frivolidad! 
          ...  Los aficionados se levantan de sus asientos 
          ...  G_Vicario vuela y bloca el cuero 
          ...  Grande chico, grande 
Min. 51 :(nap) L_Spinazzola llega el primero al balón 
          ...  Abre a la banda sobre K_Kvaratskhelia 
          ...  D_Udogie se desliza a ras de suelo con la pierna por delante 
          ...  Impacta el cuero y se va a córner 
          ...  CÓRNER 
          ...  S_Lobotka saca a la zona de peligro 
          ...  El balón va directo hacia P_Porro, que despeja con contundencia 
Min. 54 :(tot) D_Kulusevski llega el priimero al balóm suelto 
          ...  Y lo mete en profundidad hacia D_Solanke 
          ...  D_Solanke cruza la línea de medios, avanza, mira al portero y chuta 
          ...  A_Meret hace una parada sencillita 
          ...  Todo lo que hace parece sencillo. Qué classe 
Min. 57 :(nap) K_Kvaratskhelia dispara en carrera 
          ...  Hay un rebote 
          ...  le cae a R_Lukaku 
          ...  R_Lukaku busca desequilibrar el partido 
          ...  Los aficionados se levantan de sus asientos 
          ...  G_Vicario vuela y bloca el cuero 
          ...  Grande chico, grande 
Min. 58 :(nap) M_Gutierrez con un glorioso pase largo hacia R_Lukaku 
          ...  R_Lukaku mira a puerta 
          ...  ¡Dispara! 
          ...  Fuera 
          ...  ¿De qué sirve tanta potencia si el disparo va fuera? 
Min. 59 :(tot) B_Johnson ha roto por completo el fuera de juego 
          ...  Encara a A_Meret 
          ...  S_Lobotka lo derriba en el área 
          ...  Toma Eso ha sido muy feo 
          ...  Howard_Webb le indica que se gire 
          ...  ¿Será tarjeta, pero tendrá valor para expulsarlo? 
          ...  ¡NO! (AMARILLA) 
Min. 60 :(nap) A_Buongiorno cambia el juego hacia R_Lukaku 
          ...  R_Lukaku remata forzado... con la cabeza 
          ...  El disparo se le escurre a G_Vicario de las manos 
          ...  rueda lentamente hacia el marco 
          ...  Pero sale a centímetros del palo 
Min. 62 :(tot) D_Udogie espera apoyos 
          ...  Richarlison sale de la cueva. Para él va el balón 
          ...  Richarlison con un verdadero obús 
          ...  A_Meret ve salir el balón demasiado alto 
          ...  Pero ojo con el efecto 
          ...  Pega en el palo 
          ...  Y fuera. A_Meret parece sorprendido 
Min. 62 :(nap) M_Gutierrez se mete en diagonal a través de los defensas 
          ...  Se va del central que le sale al paso 
          ...  El extremo se cuela por la espalda del lateral 
          ...  Envía el pase a R_Lukaku 
          ...  R_Lukaku levanta la cabeza, apunta a la escuadra y... ¡dispara! 
          ...  G_Vicario está tapado. No ve venir el balón 
          ...  Pero lo despeja con los puños. Poco ortodoxo, pero efectivo 
