Copa SLI, Borussia Dortmund vs. Real Madrid (Tue Aug 18)


                    Borussia Dortmund  |  Real Madrid
                            4-2-2-2 E  |  4-2-1-3 A
                                       |
                                       |
                           G_Kobel GK  |  GK T_Courtois
                           W_Anton DF  |  DF D_Huijsen
                            N_Sule DF  |  DF R_Asencio
                      R_Bensebaini DF  |  DF E_Militao
                   N_Schlotterbeck DF  |  MF D_Ceballos
                           P_Gross MF  |  MF E_Camavinga
                          J_Brandt AM  |  DF D_Carvajal
                   Jobe_Bellingham MF  |  AM A_Guler
                           G_Reyna AM  |  FW Rodrygo
                         K_Adeyemi FW  |  FW K_Mbappe
                        S_Guirassy FW  |  FW V_Junior
                                       |
                           A_Meyer SUB |  SUB A_Lunin
                           Y_Couto SUB |  SUB J_Carreras
                          F_Nmecha SUB |  SUB Mastantuono
                        M_Sabitzer SUB |  SUB Endrick
                      J_Duranville SUB |  SUB G_Garcia

Árbitro: Tom_Henning_Ovrebo (Norway)


Min. 2  :(rma) A_Guler con un pase muy fuerte para V_Junior 
          ...  V_Junior golpea el balón ¡Uau! Ha hecho la "folha seca" ¡Mira cómo baja! 
          ...  G_Kobel se juega el físico y mete la mano 
          ...  ¡UAU! Vaya parada Ha chocado contra el palo de lo ajustado que iba el disparo 
          ...  CÓRNER 
          ...  A_Guler con un peligroso lanzamiento al segundo palo 
          ...  Rodrygo entra desde atrás 
          ...  G_Kobel mete la pierna 
          ...  Hay que blocar el balón jefe 
Min. 3  :(bor) K_Adeyemi mete el pase 
          ...  E_Militao resbala 
          ...  Jobe_Bellingham se apodera del balón 
          ...  Corte finísimo de D_Huijsen 
          ...  Y evita el córner Está en un momento dulce 
Min. 3  :(rma) K_Mbappe se cuela con potencia entre los centrales 
          ...  Pero pisa un charco y cae al suelo 
          ...  N_Schlotterbeck recoge el balón. Menudo marcaje le está haciendo 
Min. 4  :(bor) Jobe_Bellingham supera a D_Carvajal 
          ...  Jobe_Bellingham saca un disparo durísimo desde lejos 
          ...  T_Courtois palmea a córner 
          ...  Tom_Henning_Ovrebo pita saque de puerta 
          ...  Increíble 
Min. 4  :(bor) W_Anton tira la pared con su delantero 
          ...  K_Adeyemi con un preciso pase de primeras 
          ...  Menuda jugada 
          ...  E_Camavinga agarra a su rival de la camiseta 
          ...  Bien visto por al árbitro 
          ...  Tom_Henning_Ovrebo busca nerviosamente en sus bolsillos 
          ...  Medita su decisión 
          ...  (AMARILLA) Tanto cuento para esto... 
Min. 6  :(bor) P_Gross recupera el balón y pasa largo hacia G_Reyna. Ha pillado a la defensa desolocada 
          ...  D_Carvajal se hace con el balón y lo cede al portero 
          ...  T_Courtois estaba descolocado 
          ...  Corre a la desesperada 
          ...  Fuera Por poco 
          ...  CÓRNER 
          ...  P_Gross centra con fuerza al área pequeña 
          ...  D_Carvajal cubre el segundo palo 
          ...  Y evita el remate del delantero 
Min. 7  :(bor) Jobe_Bellingham Con un pase demasiado fuerte. K_Adeyemi va a llegar 
          ...  K_Adeyemi controla el balón, amaga y... dispara ¡Oh! 
          ...  T_Courtois rechaza el balón con los pies 
          ...  Su defensa cierra el rebote y envía el balón al centro del campo 
Min. 8  :(bor) R_Bensebaini hace un bicicleta, pisa área... 
          ...  R_Bensebaini suelta un cañonazo ¡Uou! Ni Oliver y Benji hacían eso 
          ...  A las nubes 
          ...  Dejó el cuerpo atrás y no controló bien el disparo 
Min. 8  :(rma) Rodrygo salta sobre la tremenda entrada de N_Schlotterbeck 
          ...  Rodrygo prueba suerte con un disparo raso 
          ...  G_Kobel flota sobre la línea de meta 
          ...  Mete la mano 
          ...  ¿Córner? No se equivocó 
Min. 9  :(bor) S_Guirassy cambia de dirección 
          ...  D_Huijsen, que lo estaba persiguiendo, resbala 
          ...  S_Guirassy busca el palo largo 
          ...  Se estrella en el larguero 
          ...  Controla el rebote con el pecho 
          ...  OHHHHHHHH 
          ...  Un defensa ha estado más rápido y ha enviado el balón fuera 
Min. 9  :(rma) E_Camavinga está desmarcado 
          ...  E_Camavinga con un sutil toque de puntera 
          ...  El balón sale rebotado 
          ...  Fuera Será córner... 
          ...  CÓRNER 
          ...  K_Mbappe con un peligroso lanzamiento al segundo palo 
          ...  G_Kobel sale con valentía y atrapa el balón 
Min. 10 :(rma) Rodrygo hace un sombrero sobre K_Adeyemi 
          ...  K_Adeyemi placa a su oponente 
          ...  Este tío tiene futuro... en la NFL 
          ...  Eso será tarjeta y con todo merecimiento 
          ...  (AMARILLA) 
Min. 10 :(rma) D_Ceballos se va de uno, de dos, de tres 
          ...  Mira a un lado... y pasa hacia V_Junior al otro lado OH 
          ...  V_Junior levanta la cabeza, apunta a la escuadra y... ¡dispara! 
          ...  Qué agilidad G_Kobel ha estado tremendo 
Min. 12 :(rma) A_Guler cruza para Rodrygo 
          ...  Rodrygo mira a G_Kobel 
          ...  Trata de superarlo por el palo largo 
          ...  G_Kobel cubre su ángulo 
          ...  El balón hace un extraño 
          ...  G_Kobel ha quedado descolocado 
          ...  Pero sale desviada 
Min. 15 :(bor) J_Brandt encuentra a K_Adeyemi con un pase largo 
          ...  Rodrygo se lleva bien el balón 
          ...  Tom_Henning_Ovrebo pita falta ¡Bufff!, no vale ni para la Segunda B 
          ...  Tom_Henning_Ovrebo simplemente lo avisa. Ahí ha acertado 
          ...  FALTA DIRECTA 
          ...  Muy lejana, no creo que llegue 
          ...  G_Reyna engaña al equipo rival 
          ...  mete el pase para S_Guirassy 
          ...  S_Guirassy toca el balón con mucha sutileza 
          ...  Espectacular parada de T_Courtois 
          ...  Seguro que su seleccionador nacional habrá tomado buena nota 
Min. 16 :(bor) N_Schlotterbeck supera a E_Militao 
          ...  Lleva loco a su marcador 
          ...  N_Schlotterbeck trata de sorprender con un chut lejano 
          ...  GOOOOOL 
          ...  Qué manera de acabar la jugada 
          ...  El Borussia Dortmund se pone por delante 
          ...  Borussia Dortmund 1-0 Real Madrid ...
