Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Oblak       33 svn 45  2  2  2 24 677 300 300 300  24   0 2293   1 154  31   0   0   0   0   0   0   0   0 100
J_Musso       32 arg 30  2  2  2 22 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_LeNormand   29 esp  2 41 12  4 25 300 514 643 342  22   0 2053   2   0   0  33  14   4   0   1   5   0   0  100
D_Hancko      28 svk  2 36 14  4 24 300 926 390 332  18   1 1143   0   0   0  22   4   6   0   0   2   0   0  100
J_Gimenez     31 uru  2 41 12  4 25 300 597 625 362  23   0 2120   1   0   0  34  11   3   0   2   1   0   0  100
C_Lenglet     31 fra  2 33 14  4 24 300 421 317 328   4   3  224   0   0   0   4   0   3   0   0   0   0   0 100
M_Ruggeri     24 ita  2 36 16  7 25 300 694 499 422  18  10 1070   0   0   0  14   7   6   2   1   1   0   0  100
J_Galan       31 esp  2 32 19  7 24 300 378 320 300   1   0   97   0   0   0   3   1   0   0   0   0   0   0 100
M_Llorente    31 esp  2 38 36 14 27 300 693 950 319  21   0 1881   1   0   0  41  29   6   0   3   2   0   0  100
N_Molina      28 arg  2 36 19  7 25 300 576 445 331  10   6  681   0   0   0  10   5   3   0   1   0   0   0 100
M_Pubill      24 esp  2 30 16  7 23 300 317 317 317   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
P_Barrios     23 esp  2 19 38 12 26 300 452 685 325  22   9 1383   0   0   0   6  18   7   0   1   3   0   0  100
C_Gallagher   26 eng  2 16 38 14 26 300 348 674 304  14   4  851   0   0   0   2  16   4   0   2   1   0   0 100
J_Cardoso     24 usa  2 19 36 12 25 300 351 399 309   3   2  153   0   0   0   2   5   2   0   0   0   0   0 100
Koke          34 esp  2 14 43 12 25 300 452 514 418  23   0 2197   0   0   0   6  43  16   2   2   1   0   0  100
T_Almada      25 arg  2 16 38 19 26 300 371 622 340  10   6  630   0   0   0   3  15   4   1   1   2   0   0 100
A_Baena       25 esp  2 16 39 21 25 300 490 370 442  24   0 1949   0   0   0   6  31  14   2   4   0   0   0  100
C_Martin      24 esp  2 12 30 21 24 300 307 347 323   2   0  188   0   0   0   0   2   4   0   0   3   0   0 100
G_Simeone     23 arg  2 12 28 32 26 300 326 349 307   3   1  194   0   0   0   1   1   3   0   1   0   0   0 100
G_Raspadori   26 ita  2 14 21 36 26 300 368 525 517  15   0 1079   0   0   0   2   9  21   4   1   0   0   0  100
A_Griezmann   35 fra  2 14 28 44 28 300 370 536 482  22   0 1989   6   0   0   2   8  65  17   2   5   0   0  100
J_Alvarez     26 arg  2 12 21 42 29 300 380 531 827  22   3 1900   2   0   0   3  10  46  10   1   4   0   0  100
A_Sorloth     30 nor  2  9 19 36 27 300 364 687 657  14   7  985   1   0   0   1  16  22   7   1   4   0   0  100
