Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Garcia      25 esp 32  2  2  2 23 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_TerStegen   34 ger 40  2  2  2 24 909 300 300 300  29   0 2720   0 132  39   0   0   0   0   0   1   2   0 100
W_Szczesny    36 pol 39  2  2  2 22 260 300 300 300   1   1   53   0   0   3   0   0   0   0   0   0   0   0  100
P_Cubarsi     21 esp  2 40 16  4 25 300 637 744 435  26   1 2427   2   0   0  35  13   6   2   5   4   0   0  100
W_Fofana      25 fra  2 41 16  7 22 300 484 791 349  26   0 2484   0   0   0  29  21   3   0   1   3   0   0 100
Grimaldo      30 esp  2 41 20 20 22 300 674 434 374  14   2 1059   1   0   0  13   6   5   1   0   1   2   0  100
R_Araujo      27 uru  2 43 14  4 26 300 956 394 316  19   6 1325   0   0   0  23   4   2   0   0   1   0   0  100
Guehi         25 cma  2 40 14  4 25 300 465 734 375  27   2 2387   1   0   0  33  17   9   1   3   3   0   0  100
E_Garcia      25 esp  2 33 16  4 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Christensen 30 den  2 36 14  4 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Balde       23 esp  2 35 19  7 25 300 300 320 300   1   1   24   0   0   0   0   1   0   0   0   0   0   0 100
J_Kounde      27 fra  2 43 26  7 25 300 777 731 448  22   3 1855   2   0   0  17  18  10   3   2   1   0   0  100
M_Casado      22 esp  2 19 33 12 24 300 326 369 310   5   5  175   0   0   0   1   2   2   0   1   0   0   0 100
M_Bernal      21 esp  2 16 31 12 23 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Estevao       19 bra  2 28 38 21 20 300 695 529 464  26   1 2274   1   0   0  14  42  19   2   2   6   0   0 100
Pedri         23 esp  2 16 45 16 27 300 518 881 443  27   0 2474   0   0   0   7  55  20   1   5   5   0   0  100
Gavi          22 esp  2 24 42 16 26 300 697 817 533  28   1 2620   1   0   0  12  45  11   3   8   5   0   0  100
F_DeJong      29 ned  2 19 43 14 26 300 386 324 396  18   3 1303   1   0   0   3  30  11   1   4   5   0   0  100
F_Lopez       23 esp  2 14 33 16 25 300 323 377 378   3   2  225   0   0   0   1   4   3   2   0   1   0   0 100
M_Rashford    28 eng  2 12 24 38 28 300 310 390 567  10   5  554   1   0   0   0   4  15   6   0   2   0   0  100
K_Lee         25 kor  2 16 33 33 24 300 300 340 340   2   2  113   0   0   0   0   2   1   1   0   0   0   0 100
L_Yamal       19 esp  2 12 29 41 27 300 522 428 372  25   1 2315   2   0   0   5  31  61  13   4   3   0   0  100
R_Barjghji    20 den  2  9 21 31 25 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Torres      26 esp  2  9 19 40 27 300 338 863 551  26   0 2410   4   0   0   0  19  75  18   5   4   0   0  100
R_Lewandowski 38 pol  2  9 19 49 26 300 294 503 348  23   4 1608   4   0   0   0   9  61  15   1   6   0   0  100
