Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Kobel       28 sui 42  3  2  2 22 527 300 300 300  10   0  857   0  54  20   0   0   0   0   0   0   0   0 100
A_Meyer       35 ger 27  2  2  2 18 477 300 300 300   1   1   87   0  11   5   0   0   0   0   0   0   0   0 100
P_Drewes      33 ger 23  2  2  2 17 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Ostrzinski  22 pol 18  2  2  2 16 300 300 300 300   1   0   95   0   0   0   0   0   0   0   0   0   0   0 100
N_Schlotterbeck 27 ger  2 40 17  7 23 300 619 456 313   9   0  777   0   0   0  12   6   2   0   1   3   0   1  100
W_Anton       30 ger  2 38 15  7 22 300 830 410 310  10   0  944   0   0   0  20   5   0   0   0   2   0   0  100
N_Sule        31 ger  2 38 15  4 22 300 478 385 306  10   0  849   0   0   0   7   3   2   0   1   1   0   0  100
F_Mane        18 gam  2 25 12  4 21 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Svensson    22 swe  2 31 19  9 22 300 300 300 300   1   0   94   0   0   0   0   0   0   0   0   0   0   0 100
R_Bensebaini  31 alg  2 36 28 12 22 300 400 316 302   5   1  403   0   0   0   4   1   2   0   0   1   0   0  100
A_Kabar       19 ger  2 26 16  7 21 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Couto       24 bra  2 36 31 14 24 300 429 339 305   5   1  449   0   0   0   5   2   2   0   0   0   0   0 100
J_Ryerson     28 nor  2 36 28 12 23 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Can         32 ger  2 28 38 16 23 300 351 319 309   3   0  282   0   0   0   2   1   2   0   0   0   0   0  100
S_Ozcan       28 tur  2 28 36 14 22 300 325 319 304   1   0   93   0   0   0   1   1   1   0   0   0   0   0  100
F_Nmecha      25 ger  2 26 36 16 22 300 300 320 300   2   0   94   0   0   0   0   1   0   0   0   0   0   0  100
Jobe_Bellingham 20 eng  2 24 33 16 22 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Sabitzer    32 aut  2 24 38 21 23 300 447 577 366  10   1  943   0   0   0   5  13   6   1   0   0   0   0  100
P_Gross       35 ger  2 21 40 19 22 300 393 704 343   9   0  850   0   0   0   3  18   8   0   1   0   0   0  100
J_Brandt      30 ger  2 19 43 26 24 300 343 529 403   9   0  851   0   0   0   2   9  14   2   2   3   0   0 100
G_Reyna       24 usa  2 19 38 24 23 300 346 672 407   9   0  849   1   0   0   2  16  11   2   2   2   0   0  100
J_Duranville  20 bel  2 16 28 33 24 300 300 300 310   2   0  186   0   0   0   0   0   2   0   0   0   0   0 100
K_Adeyemi     24 ger  2 16 28 40 26 300 351 448 546   8   1  624   2   0   0   2   6  31   4   1   0   0   0  100
C_Campbell    21 isl  2 16 28 30 23 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Guirassy    30 gin  2 14 25 43 24 300 370 452 596  10   0  917   1   0   0   3   8  28   6   0   2   0   0  100
M_Beier       24 ger  2 14 24 38 24 300 300 300 300   1   1   68   0   0   0   0   0   0   0   0   0   0   0 100
