Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
R_Sanchez     28 esp 40  3  2  2 19 525 300 300 300  21   0 1885   0  89  35   0   0   0   0   0   3   0   0 100
G_Slonina     21 usa 25  2  2  2 17 497 300 300 300   6   2  500   0  18  17   0   0   0   0   0   0   0   0 100
T_Chalobah    26 eng  2 38 16  7 21 300 403 299 300   3   0  290   0   0   0   4   0   1   0   0   0   0   0 100
Adarabioyo    28 eng  2 39  8  7 21 300 589 323 310  13   1 1032   0   0   0  11   1   3   0   0   4   0   0  100
Colwill       23 eng  2 39 17  7 18 300 507 663 309  24   2 2197   1   0   0  33  15   4   0   2   3   0   0  100
Reece_James   26 eng  2 42 17  7 18 300 917 528 295  23   2 2057   0   0   0  22  11   2   0   1   3   0   1  100
B_Badiashile  24 fra  2 38 14  7 21 300 527 353 342  12   0 1139   0   0   0   9   3   6   1   0   2   0   0 100
C_Disasi      27 fra  2 37 16  7 21 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Cucurella   28 esp  2 41 18 21 20 300 907 620 388  20   0 1907   1   0   0  22  15  11   2   1   1   0   0  100
R_Lavia       22 bel  2 28 39 14 20 300 688 982 436  23   0 1983   0   0   0  14  30  10   2   2   3   0   1  100
D_Olmo        28 esp  2 16 40 19 26 300 467 806 364  16   2 1271   0   0   0   5  22   7   0   1   4   0   0  100
M_Caicedo     24 ecu  2 31 43 16 22 300 881 434 368  25   0 2361   1   0   0  22  34   8   1   5   2   0   0  100
E_Fernandez   25 arg  2 31 41  9 22 300 690 887 331  19   0 1720   0   0   0  15  25   7   0   3   5   0   0  100
C_Palmer      23 eng  2 14 44 33 22 300 340 664 620  24   0 2287   2   0   0   2  48  29   6   4   4   0   0  100
C_Nkunku      29 fra  2 19 13 41 21 300 493 325 563  17   7 1072   1   0   0   8   2  31   5   0   4   0   0  100
P_Neto        26 por  2 19 22 39 21 300 414 559 728  17   1 1477   3   0   0   4  11  38   8   1   2   0   0  100
N_Jackson     26 cam  2  9 14 39 17 300 326 360 527   7   3  466   2   0   0   1   3  27   4   0   0   0   0 100
Joao_Pedro    25 bra  2  5 11 38 16 300 300 300 306   4   2  203   0   0   0   0   0   2   0   0   0   0   0 100
Delap         23 eng  2  5 13 35 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nico_Williams 24 esp  2 16 18 42 20 300 496 454 527  19   1 1573   0   0   0   7   7  35   3   0   6   0   0  100
Raphinha      29 bra  2 12 21 40 28 300 290 370 427   7   2  467   0   0   0   0   4   8   3   0   3   0   0 100
