Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Unai_Simon    29 esp 43  3  2  2 18 736 300 300 300   3   0  289   0  20   2   0   0   0   0   0   0   0   0 100
Ederson       33 bra 39  2  2  2 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Laporte       32 esp  2 42 11  9 19 300 456 320 300   3   0  289   0   0   0   6   1   0   0   0   0   0   0  100
R_Dias        29 por  2 43 15  4 26 300 430 320 300   3   0  289   0   0   0   5   1   0   0   0   0   0   0  100
A_Khusanov    22 uzb  2 36 14  4 24 300 326 300 300   2   2   37   0   0   0   1   0   0   0   0   0   0   0 100
M_Akanji      31 sui  2 36 14  4 25 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Stones      32 eng  2 40 16  7 25 300 479 317 299   3   0  289   0   0   0   7   1   2   0   0   1   0   0  100
N_Ake         31 ned  2 36 14  4 25 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Gvardiol    24 cro  2 40 16  7 25 300 480 328 333   3   0  289   0   0   0   5   0   1   0   0   2   0   0  100
R_Lewis       21 eng  2 30 19  7 23 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodri         30 esp  2 29 47  9 27 300 377 468 339   3   0  289   0   0   0   3   7   1   1   1   0   0   0  100
T_Reijnders   28 ned  2 16 38 14 25 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Gonzalez    24 esp  2 16 35 14 25 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Nunes       27 por  2 16 35 14 25 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Kovacic     32 cro  2 16 41 14 26 300 343 446 327   3   0  207   0   0   0   1   5   2   0   1   0   0   0  100
I_Gundogan    35 ger  2 14 40 14 24 300 300 380 300   3   0  252   0   0   0   0   4   0   0   0   0   0   0  100
B_Silva       32 por  2  9 43 21 27 300 300 440 305   3   0  289   0   0   0   0   7   1   0   0   0   0   0  100
P_Foden       26 eng  2 12 24 43 27 300 326 340 387   3   0  289   1   0   0   1   2   5   2   0   0   0   0  100
Savinho       22 bra  2 12 21 38 27 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Cherki      23 fra  2 12 24 37 26 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Haaland     26 nor  2 12 12 49 30 300 336 310 376   3   0  289   1   0   0   1   0   7   1   0   2   0   0  100
O_Marmoush    27 egy  2  9 14 43 28 300 300 300 301   1   1   82   0   0   0   0   0   1   0   0   0   0   0  100
Lookman       28 nig  2  8 22 40 26 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
