Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Marmardashvili 25 geo 43  2  2  2 22 307 300 300 300   8   2  627   0  40  15   0   0   0   0   0   0   0   0  100
Alisson       33 bra 44  2  2  2 20 967 300 300 300  13   0 1178   0  76  29   0   0   0   0   0   3   0   1 100
Woodman       23 ing 28  2  2  2 19 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_van_Dijk    35 ned  2 48 19  7 27 300 756 494 361  16   0 1468   0   0   0  17   9   4   1   0   6   0   0  100
M_Kerkez      22 hun  2 38 12  7 24 300 359 509 372  19   0 1805   1   0   0  28  10   8   1   0   2   0   0  100
I_Konate      27 fra  2 41 14  4 25 300 894 422 483  16   0 1510   0   0   0  21   7  11   4   0   8   0   0  100
J_Gomez       29 eng  2 38 14  4 24 300 567 387 317   8   1  645   0   0   0  10   4   2   0   0   3   0   0 100
R_Williams    25 eng  2 28 12  4 22 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Robertson   32 sco  2 40 21  7 26 300 882 530 331  17   1 1529   0   0   0  22  11   5   0   0   2   0   0  100
J_Frimpong    26 ned  2 36 21  7 25 300 317 337 327   2   0  189   0   0   0   0   1   2   0   0   0   0   0 100
C_Bradley     23 nir  2 27 19  7 23 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Gravenberch 24 ned  2 21 40 14 25 300 556 340 410  18   0 1616   2   0   0   9  33   6   2   2   4   0   0  100
F_Wirtz       23 ale  2 21 46 22 25 300 552 597 459  19   0 1805   2   0   0  10  43  18   3   5   2   0   0  100
S_Bajcetic    21 esp  2 23 35  7 25 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Endo        33 jpn  2 21 35 12 23 300 409 798 356   9   3  727   1   0   0   3  19   5   0   3   1   0   0 100
A_MacAllister 27 arg  2 19 43 16 25 300 509 530 459  19   0 1712   1   0   0   7  35  18   2   7   2   0   0  100
C_Jones       25 eng  2 19 38 16 24 300 297 357 297   1   0   96   0   0   0   0   3   0   0   0   1   0   0 100
D_Szoboszlai  25 hun  2 16 40 24 27 300 384 638 383  13   0 1146   1   0   0   4  15   9   2   2   6   0   0  100
M_Salah       34 egy  2 14 26 45 22 300 438 598 395  19   0 1750   3   0   0   3   9  63  14   2   2   0   0  100
Etikite       24 fra  2 12 12 38 18 300 300 300 300   2   1  106   0   0   0   0   0   0   0   0   0   0   0 100
F_Chiesa      28 ita  2 12 14 42 14 300 383 469 667  14   7  932   0   0   0   2   4  34   6   2   1   0   0 100
Gakpo         27 hol  2 12 14 41 14 300 325 319 538  13   2  840   1   0   0   1   1  20   5   0   0   0   0  100
Ngumoha       18 ing  2 12 14 32 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
