Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Onana       30 cmr 42  3  2  2 22 592 300 300 300   4   0  381   0  18   8   0   0   0   0   0   0   0   0 100
A_Bayindir    28 tur 33  2  2  2 20 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Heaton      40 eng 25  2  2  2 19 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
de_Ligt       27 hol  2 42 14  4 24 300 408 493 314   4   0  381   1   0   0   4   8   0   0   1   1   0   0  68
L_Yoro        20 fra  2 38 14  4 23 300 352 320 305   4   0  353   0   0   0   2   1   1   0   0   0   0   0  68
L_Martinez    28 arg  2 42 19  7 26 300 429 368 304   4   0  381   0   0   0   5   2   1   0   1   0   0   0  68
H_Maguire     33 eng  2 36 16  4 24 300 430 349 306   4   1  315   0   0   0   5   1   2   0   1   0   0   0  68
A_Heaven      19 eng  2 22 10  3 20 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Fredricson  21 eng  2 21 10  3 20 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Dorgu       21 den  2 30 14  5 22 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Malacia     27 ned  2 30 26  9 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Shaw        31 eng  2 36 28  9 25 300 349 377 297   3   0  135   0   0   0   2   4   0   0   0   1   0   0  83
D_Leon        19 esp  2 20 12  4 20 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Dalot       27 por  2 36 28  9 25 300 349 406 308   3   3  152   0   0   0   2   4   3   0   1   1   0   0  81
N_Mazraoui    28 mar  2 29 27  9 25 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Casemiro    34 bra  2 31 42 12 25 300 300 380 355   3   0  197   0   0   0   0   4   4   1   0   0   0   0  68
M_Ugarte      25 uru  2 29 38  8 25 300 290 310 340   2   0  189   0   0   0   0   1   1   1   0   0   0   0 100
M_Mount       27 eng  2  7 39 21 26 300 325 339 351   3   1  278   0   0   0   1   2   5   1   0   0   0   0 100
B_Fernandes   31 por  2  9 43 26 27 300 323 575 305   4   0  381   0   0   0   1  11   4   0   2   1   0   0  68
K_Mainoo      21 eng  2  4 38 19 25 300 297 357 349   2   0  155   0   0   0   0   3   5   1   0   1   6   0 100
A_Garnacho    22 arg  2 13 28 40 26 300 300 360 329   4   1  271   0   0   0   0   3   9   0   0   0   0   0  68
B_Mbeumo      27 cmr  2 15 15 41 26 300 317 377 495   4   0  345   2   0   0   0   3   9   4   0   0   0   0  68
A_Diallo      23 civ  2 13 16 35 25 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Cunha       27 bra  2 15 19 40 27 300 323 386 362   4   2  221   0   0   0   1   3  10   1   1   1   0   0  76
B_Sesko       23 svn  2 13 21 38 27 300 300 300 301   2   2   56   0   0   0   0   0   1   0   0   0   0   0  89
J_Zirkzee     25 ned  2 13 22 38 26 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Obi         18 nig  2  9 16 31 22 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
