Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Meret       29 ita 40  3  2  2 19 385 300 300 300  23   0 2186   0  96  51   0   0   0   0   0   2   0   0 100
V_Milinkovic  29 ser 30  2  2  2 18 300 300 300 300   1   1   35   0   0   0   0   0   0   0   0   0   0   0 100
A_Buongiorno  26 ita  2 40 16  7 21 300 302 506 353  20   1 1745   0   0   0  26   9   7   0   0   7   0   0  100
A_Rrahmani    32 kos  2 40 16  7 21 300 326 300 305   1   1   41   0   0   0   1   0   1   0   0   0   0   0 100
M_Kim         29 kor  2 41 14  4 25 300 867 545 332  19   2 1639   0   0   0  20  11   3   0   0   3   0   0  100
M_Gutierrez   25 esp  2 41 27  9 22 300 571 902 362  22   0 2047   1   0   0  36  28   6   1   1   1   0   0  100
M_Oliveira    28 uru  2 38 28 12 20 300 554 612 353  12   1  993   0   0   0  10  13   8   1   2   2   0   0 100
L_Spinazzola  33 ita  2 39 31 14 20 300 392 374 325   7   4  305   0   0   0   3   3   3   0   0   1   0   0 100
G_DiLorenzo   32 ita  2 42 31 12 21 300 319 835 374  21   0 1915   0   0   0  27  23  17   0   2   5   0   0  100
S_Lobotka     31 svk  2 27 41 14 21 300 594 404 469  21   2 1731   1   0   0  11  34  20   3   4   3   0   0  100
F_Anguissa    30 cmr  2 29 38 16 21 300 418 543 336   7   2  490   0   0   0   4  10   6   0   1   1   0   0 100
L_Goretzka    31 ger  2 16 42 16 26 300 513 392 408  21   1 1935   0   0   0   8  35  16   1   3   4   0   0  100
S_McTominay   29 sco  2 19 42 29 22 300 367 784 418  19   3 1367   0   0   0   2  22  31   0   1   0   0   0  100
B_Gilmour     25 sco  2 25 38 14 21 300 531 373 331  20   0 1809   1   0   0   9  33  10   0   4   5   0   0  100
D_Neres       29 bra  2 14 39 22 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Politano    33 ita  2 14 40 20 22 300 297 506 342   6   1  390   1   0   0   0   9   2   1   1   1   0   0 100
R_Lukaku      33 bel  2 16 20 41 20 300 374 425 518  18  10  864   2   0   0   3   5  37   3   1   1   0   0 100
S_Gnabry      31 ger  2 12 24 41 27 300 373 535 933  20   2 1510   1   0   0   3  12  61  12   0   6   0   0  100
R_KoloMuani   27 fra  2 14 28 41 25 300 318 581 518  16  10  885   0   0   0   1  13  26   4   1   2   0   0  100
K_Kvaratskhelia 25 geo  2 16 31 40 26 300 454 893 890  20   0 1860   2   0   0   5  27  52  11   1   8   0   0  100
