Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    34 bel 45  2  2  2 24 610 300 300 300  22   0 2122   0 196  45   0   0   0   0   0   0   0   0 100
A_Lunin       27 ukr 37  2  2  2 22 428 300 300 300   1   0   95   0   7   2   0   0   0   0   0   0   0   0 100
D_Huijsen     21 ned  2 38 12  4 25 300 396 602 329  22   0 2122   1   0   0  28  11   1   0   2   3   0   0  100
R_Asencio     23 esp  2 32 14  4 24 300 973 486 350  18   0 1733   0   0   0  26   8   6   1   1   6   0   0  100
E_Militao     28 bra  2 40 12  4 26 300 708 461 297  17   1 1511   0   0   0  16   7   1   0   1   2   0   0 100
A_Rudiger     33 ger  2 43  9  4 24 300 357 406 359  19   1 1682   0   0   0  30   5   4   2   1   7   0   0 100
D_Alaba       34 aut  2 32 14  4 23 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Carreras    25 esp  2 37 16  7 25 300 398 294 294   3   1  204   0   0   0   4   0   0   0   0   2   0   0  100
F_Garcia      26 esp  2 34 16  7 25 300 299 339 299   1   0   95   0   0   0   0   2   0   0   0   0   0   0  100
F_Mendy       31 fra  2 38 14  4 25 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
AlexArnold    28 eng  2 40 21 12 27 300 374 320 317   5   2  377   0   0   0   2   1   5   0   0   0   0   0 100
D_Carvajal    34 esp  2 40 19  7 26 300 599 436 293   7   0  698   0   0   0  12   6   2   0   1   4   0   0 100
A_Tchouameni  26 fra  2 24 41 12 27 300 471 385 298  15   0 1272   0   0   0   7  34   5   0   4   3   0   0  100
F_Valverde    28 uru  2 27 43 16 27 300 389 677 467  22   0 1990   1   0   0   4  43  14   4   8   4   0   0  100
E_Camavinga   23 fra  2 21 38 14 26 300 323 477 349   6   4  313   0   0   0   1   9   5   1   0   1   0   0 100
D_Ceballos    30 esp  2 16 37 12 25 300 300 669 300   4   0  412   0   0   0   0  17   0   0   1   0   0   0 100
J_Bellingham  23 eng  2 16 45 24 28 300 522 570 508  20   0 1892   1   0   0   8  42  18   4   4   6   0   0 100
A_Guler       21 tur  2 14 37 19 25 300 503 954 510  20   0 1933   0   0   0   6  26  14   3   3   1   0   0  100
V_Junior      26 bra  2 12 23 45 30 300 509 868 869  22   0 2091   3   0   0   8  24  73   9   3   5   0   0  100
Rodrygo       25 bra  2  9 19 40 28 300 382 548 809  16   1 1442   3   0   0   2   8  41  10   2   1   0   0  100
B_Diaz        27 esp  2  9 21 35 26 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mastantuono   19 jpn  2  9 19 34 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Mbappe      27 fra  2 12 24 49 30 300 369 537 443  21   0 1968   3   0   0   2  11  71  17   0   5   0   0 100
Endrick       19 bra  2  9 16 37 26 300 299 299 299   1   1   16   0   0   0   0   0   0   0   0   0   0   0 100
G_Garcia      22 esp  2  7 14 32 24 300 300 300 302   2   0  173   0   0   0   0   0   2   0   0   0   0   0  100
